zeit,nation1,nation2,tore1,tore2,gelb1,rot1,gelb2,rot2
2018-06-14 17:00,RUS,KSA,5,0,1,0,1,0
2018-06-15 14:00,EGY,URU,0,1,2,0,0,0
2018-06-15 17:00,MAR,IRI,0,1,1,0,3,0
2018-06-15 20:00,POR,ESP,3,3,1,0,1,0
2018-06-16 12:00,FRA,AUS,2,1,1,0,3,0
2018-06-16 15:00,ARG,ISL,1,1,0,0,0,0
2018-06-16 18:00,PER,DEN,0,1,1,0,2,0
2018-06-16 21:00,CRO,NGR,2,0,2,0,1,0
2018-06-17 14:00,CRC,SRB,0,1,2,0,1,0
2018-06-17 17:00,GER,MEX,0,1,2,0,2,0
2018-06-17 20:00,BRA,SUI,1,1,1,0,3,0
2018-06-18 14:00,SWE,KOR,1,0,1,0,2,0
2018-06-18 17:00,BEL,PAN,3,0,3,0,5,0
2018-06-18 20:00,TUN,GBR,1,2,0,0,1,0
2018-06-19 14:00,COL,JPN,1,2,2,1,1,0
2018-06-19 17:00,POL,SEN,1,2,1,0,2,0
2018-06-19 20:00,RUS,EGY,3,1,1,0,1,0
2018-06-20 14:00,POR,MAR,1,0,1,0,1,0
2018-06-20 17:00,URU,KSA,1,0,0,0,0,0
2018-06-20 20:00,IRI,ESP,0,1,2,0,0,0
2018-06-21 14:00,DEN,AUS,1,1,2,0,0,0
2018-06-21 17:00,FRA,PER,1,0,2,0,2,0
2018-06-21 20:00,ARG,CRO,0,3,3,0,4,0
2018-06-22 14:00,BRA,CRC,2,0,2,0,1,0
2018-06-22 17:00,NGR,ISL,2,0,1,0,0,0
2018-06-22 20:00,SRB,SUI,1,2,4,0,1,0
2018-06-23 14:00,BEL,TUN,5,2,0,0,1,0
2018-06-23 17:00,KOR,MEX,1,2,4,0,0,0
2018-06-23 20:00,GER,SWE,2,1,0,1,2,0
2018-06-24 14:00,GBR,PAN,6,1,1,0,3,0
2018-06-24 17:00,JPN,SEN,2,2,2,0,3,0
2018-06-24 20:00,POL,COL,0,3,2,0,0,0
2018-06-25 16:00,URU,RUS,3,0,1,0,1,1
2018-06-25 16:00,KSA,EGY,2,1,0,0,2,0
2018-06-25 20:00,ESP,MAR,2,2,0,0,6,0
2018-06-25 20:00,IRI,POR,1,1,2,0,4,0
2018-06-26 16:00,DEN,FRA,0,0,1,0,0,0
2018-06-26 16:00,AUS,PER,0,2,4,0,2,0
2018-06-26 20:00,ISL,CRO,,,,,,
2018-06-26 20:00,NGR,ARG,,,,,,
2018-06-27 16:00,MEX,SWE,,,,,,
2018-06-27 16:00,KOR,GER,,,,,,
2018-06-27 20:00,SRB,BRA,,,,,,
2018-06-27 20:00,SUI,CRC,,,,,,
2018-06-28 16:00,SEN,COL,,,,,,
2018-06-28 16:00,JPN,POL,,,,,,
2018-06-28 20:00,GBR,BEL,,,,,,
2018-06-28 20:00,PAN,TUN,,,,,,
